Type,Time(%),Time,Calls,Avg,Min,Max,Name
,%,s,,ms,ms,ms,
GPU activities,86.483934,36.986039,20002.0,1.849117,0.061146,11.902622,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,7.746589,3.312935,20002.0,0.16563,0.002292,0.930213,"gpu_updateWeights(Neuron*, int)"
GPU activities,3.138138,1.342068,20003.0,0.067093,0.001666,0.428596,"gpu_setInputs(Neuron*, double*, int)"
GPU activities,1.366777,0.584521,401.0,1.457658,1.08683,3.302623,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.423531,0.181129,10001.0,0.018111,0.016094,0.045,"gpu_propErrorBackwards(Neuron*, double*, int)"
GPU activities,0.291407,0.124624,10025.0,0.012431,0.004219,0.015,"gpu_setDouble(double*, double)"
GPU activities,0.15638,0.066878,10001.0,0.006687,0.005729,0.023854,"gpu_getOutputs(Neuron*, double*, int)"
GPU activities,0.132095,0.056492,22408.0,0.002521,0.001041,0.016979,"gpu_setInt(int*, int)"
GPU activities,0.119706,0.051194,10001.0,0.005118,0.004687,0.021198,"gpu_setBackwardError(Neuron*, double, int)"
GPU activities,0.058184,0.024883,10001.0,0.002488,0.002395,0.012031,"gpu_calcErrorWeightProductSum(Neuron*, int, int, double*)"
GPU activities,0.040541,0.017338,31206.0,0.000555,0.000416,0.006927,[CUDA memcpy DtoH]
GPU activities,0.032534,0.013914,30808.0,0.000451,0.00026,0.112605,[CUDA memcpy HtoD]
GPU activities,0.005497,0.002351,401.0,0.005862,0.004114,0.016094,[CUDA memcpy DtoD]
GPU activities,0.004641,0.001985,401.0,0.004949,0.003593,0.01401,"gpu_setValuesInArray(double, double*)"
GPU activities,0.000045,0.000019,2.0,0.009687,0.007135,0.01224,"gpu_setLearningRate(Neuron*, double, int)"
API calls,73.315029,45.222743,90012.0,0.502407,0.006198,17.222591,cudaDeviceSynchronize
API calls,13.887306,8.566075,133248.0,0.064286,0.027865,14.684989,cudaLaunchKernel
API calls,8.974614,5.535791,62415.0,0.088693,0.026302,17.602956,cudaMemcpy
API calls,3.822857,2.358044,44046.0,0.053535,0.0175,375.791578,cudaMalloc
API calls,0.000162,0.0001,97.0,0.001031,0.000521,0.022135,cuDeviceGetAttribute
