Type,Time(%),Time,Calls,Avg,Min,Max,Name
,%,s,,us,us,us,
GPU activities,39.351677,1.694972,20002.0,84.74,80.263,108.805,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,12.04752,0.518916,10001.0,51.886,51.303,63.023,"gpu_propErrorBackwards(Neuron*, double*, int)"
GPU activities,11.660984,0.502267,10001.0,50.221,49.897,57.449,"gpu_setBackwardError(Neuron*, double, int)"
GPU activities,8.465096,0.364612,20002.0,18.228,17.449,20.938,"gpu_updateWeights(Neuron*, int)"
GPU activities,6.969587,0.300197,20003.0,15.007,13.75,17.085,"gpu_setInputs(Neuron*, double*, int)"
GPU activities,6.305971,0.271613,10001.0,27.158,25.729,32.343,"gpu_calcErrorWeightProductSum(Neuron*, int, int, double*)"
GPU activities,6.119105,0.263565,20014.0,13.169,12.708,18.491,"gpu_setInt(int*, int)"
GPU activities,4.358586,0.187735,10001.0,18.771,18.125,25.678,"gpu_getOutputs(Neuron*, double*, int)"
GPU activities,3.104828,0.133732,30009.0,4.456,4.375,10.364,[CUDA memcpy DtoH]
GPU activities,1.59803,0.068831,30010.0,2.293,2.239,4.062,[CUDA memcpy HtoD]
GPU activities,0.015171,0.000653,50.0,13.068,12.812,16.406,"gpu_setDouble(double*, double)"
GPU activities,0.001206,0.000052,2.0,25.964,23.906,28.022,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.000902,0.000039,2.0,19.427,17.293,21.562,"gpu_setLearningRate(Neuron*, double, int)"
GPU activities,0.000671,0.000029,2.0,14.453,13.021,15.885,[CUDA memcpy DtoD]
GPU activities,0.000666,0.000029,2.0,14.349,13.282,15.417,"gpu_setValuesInArray(double, double*)"
API calls,39.748239,8.523496,90012.0,94.692,8.594,1029.547,cudaDeviceSynchronize
API calls,28.208801,6.049012,60021.0,100.781,34.427,2118.68,cudaMemcpy
API calls,25.611886,5.492138,120081.0,45.736,29.167,938.4,cudaLaunchKernel
API calls,6.430468,1.378931,30081.0,45.84,16.042,352192.726,cudaMalloc
API calls,0.000508,0.000109,97.0,1.122,0.625,23.073,cuDeviceGetAttribute
API calls,0.000044,0.000009,1.0,9.375,9.375,9.375,cuDeviceTotalMem
API calls,0.000026,0.000005,3.0,1.823,1.355,2.604,cuDeviceGetCount
API calls,0.000015,0.000003,2.0,1.588,1.302,1.875,cuDeviceGet
API calls,0.000009,0.000002,1.0,1.927,1.927,1.927,cuDeviceGetName
API calls,0.000005,0.000001,1.0,1.041,1.041,1.041,cuDeviceGetUuid
,%,s,,us,us,us,
GPU activities,39.330839,1.700641,20002.0,85.023,81.147,108.545,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,12.105731,0.523444,10001.0,52.339,51.407,62.188,"gpu_propErrorBackwards(Neuron*, double*, int)"
GPU activities,11.77533,0.509158,10001.0,50.91,49.897,59.012,"gpu_setBackwardError(Neuron*, double, int)"
