Type,Time(%),Time,Calls,Avg,Min,Max,Name
,%,s,,ms,ms,ms,
GPU activities,69.534745,2.450358,51.0,48.046232,39.068791,210.697036,"generate_seed_pseudo(__int64, __int64, __int64, curandOrdering, curandStateXORWOW*, unsigned int*)"
GPU activities,17.804625,0.627423,10001.0,0.062736,0.054117,0.082086,"gpu_calcOutputs_and_PropInputs_less_blocks(Neuron*, int*, int, double*, int, double*, double*, int, int, int)"
GPU activities,5.71663,0.20145,10001.0,0.020143,0.017031,0.023594,"gpu_updateWeights_first_layer_less_blocks(Neuron*, int, double*)"
GPU activities,3.529473,0.124376,10001.0,0.012436,0.012083,0.020572,"gpu_calcErrorWeightProductSum_less_blocks_final_layer_lms(Neuron*, Neuron*, int, int, double*, double*, int, int, double)"
GPU activities,2.802561,0.09876,10001.0,0.009875,0.009739,0.015521,"gpu_calcOutputs_less_blocks_final_layer(Neuron*, int*, int, double*, double*, int, int, int)"
GPU activities,0.437418,0.015414,1275.0,0.012089,0.001041,0.01474,"gpu_setDouble(double*, double)"
GPU activities,0.096602,0.003404,306.0,0.011124,0.001302,0.017083,"gpu_setInt(int*, int)"
GPU activities,0.05964,0.002102,51.0,0.041209,0.036667,0.054586,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.00624,0.00022,51.0,0.004311,0.003906,0.004844,"void gen_sequenced<curandStateXORWOW, double, int, __operator_&__(double curand_uniform_double_noargs<curandStateXORWOW>(curandStateXORWOW*, int)), rng_config<curandStateXORWOW>>(curandStateXORWOW*, double*, unsigned long, unsigned long, int)"
GPU activities,0.005841,0.000206,153.0,0.001345,0.000677,0.008854,[CUDA memcpy DtoH]
GPU activities,0.004204,0.000148,53.0,0.002794,0.001875,0.02797,[CUDA memcpy DtoD]
GPU activities,0.001818,0.000064,105.0,0.00061,0.000208,0.025678,[CUDA memcpy HtoD]
GPU activities,0.000203,0.000007,2.0,0.003568,0.001667,0.00547,"gpu_setLearningRate(Neuron*, double, int)"
API calls,43.813048,2.605039,102.0,25.539601,0.004062,211.050113,cudaFree
API calls,29.583974,1.759006,41740.0,0.042141,0.02875,1.307513,cudaLaunchKernel
API calls,21.24615,1.263255,1846.0,0.68432,0.016615,369.469973,cudaMalloc
API calls,4.592536,0.273063,10003.0,0.027298,0.007813,0.866363,cudaDeviceSynchronize
